id,slug,title,category_path,width_m,depth_m,height_m,vertices,triangles,material_slots,file_size_bytes,sha256,usdz,preview
MAP-0001,map-0001-stainless-french-door-four-panel-refrigerator,Stainless French-Door Four-Panel Refrigerator,appliances/major-appliances,0.91,0.76,1.78,2880,5680,3,672828,1ab9fc6cc887b6b9c1ec8d98df27533bfc5c7d4ff149cf8b155b1caf30526b13,assets/appliances/major-appliances/map-0001-stainless-french-door-four-panel-refrigerator.usdz,previews/appliances/major-appliances/map-0001-stainless-french-door-four-panel-refrigerator.jpg
MAP-0002,map-0002-white-top-freezer-two-door-refrigerator,White Top-Freezer Two-Door Refrigerator,appliances/major-appliances,0.76,0.75,1.72,2008,3952,2,334099,0fc61b043f8177e4408dd013479227e9954896e03bf9cdcdbfce85361ba856a7,assets/appliances/major-appliances/map-0002-white-top-freezer-two-door-refrigerator.usdz,previews/appliances/major-appliances/map-0002-white-top-freezer-two-door-refrigerator.jpg
MAP-0003,map-0003-mint-retro-bottom-freezer-refrigerator,Mint Retro Bottom-Freezer Refrigerator,appliances/major-appliances,0.72,0.72,1.7,1704,3368,3,758082,ea6f28e28a537b57f2feb36b5cce1d5636eed998fedab08dfca1a0cb0cff92b9,assets/appliances/major-appliances/map-0003-mint-retro-bottom-freezer-refrigerator.usdz,previews/appliances/major-appliances/map-0003-mint-retro-bottom-freezer-refrigerator.jpg
MAP-0004,map-0004-graphite-single-door-upright-freezer,Graphite Single-Door Upright Freezer,appliances/major-appliances,0.71,0.74,1.75,1600,3148,3,503605,012abc513886e59a867a4206e76491eab603ff40379ee538d1df38c59ce939fe,assets/appliances/major-appliances/map-0004-graphite-single-door-upright-freezer.usdz,previews/appliances/major-appliances/map-0004-graphite-single-door-upright-freezer.jpg
MAP-0005,map-0005-white-two-hinge-chest-freezer,White Two-Hinge Chest Freezer,appliances/major-appliances,1.25,0.72,0.88,1288,2544,3,751390,df0d6d651a1b9e6b8e2cf9181a4cc2b49dc823f890c0c2cec722d083781de387,assets/appliances/major-appliances/map-0005-white-two-hinge-chest-freezer.usdz,previews/appliances/major-appliances/map-0005-white-two-hinge-chest-freezer.jpg
MAP-0006,map-0006-stainless-five-burner-gas-range,Stainless Five-Burner Gas Range,appliances/major-appliances,0.76,0.71,0.94,7728,15356,3,787961,534a475774baeafb11a0a09abb6f850307abf612b6455d8ceceb6c2bd46803b8,assets/appliances/major-appliances/map-0006-stainless-five-burner-gas-range.usdz,previews/appliances/major-appliances/map-0006-stainless-five-burner-gas-range.jpg
MAP-0007,map-0007-black-four-zone-induction-range,Black Four-Zone Induction Range,appliances/major-appliances,0.76,0.7,0.94,3856,7680,3,555297,b4403be2d76c80153461796d80e13b78ab49977bb93d32536e9cb27afa300086,assets/appliances/major-appliances/map-0007-black-four-zone-induction-range.usdz,previews/appliances/major-appliances/map-0007-black-four-zone-induction-range.jpg
MAP-0008,map-0008-stainless-double-wall-oven,Stainless Double Wall Oven,appliances/major-appliances,0.76,0.69,1.32,1864,3680,3,629872,3b7b7f8e81d193652ff81cb0f7b9c9eb90e90750b6e52f12c52b8f78c494d6a5,assets/appliances/major-appliances/map-0008-stainless-double-wall-oven.usdz,previews/appliances/major-appliances/map-0008-stainless-double-wall-oven.jpg
MAP-0009,map-0009-white-four-coil-electric-range,White Four-Coil Electric Range,appliances/major-appliances,0.76,0.7,0.94,9608,19140,3,572239,5feae18abd3593639350d890fbcc604ca8df144277b52f051e3a43dc2a4335bc,assets/appliances/major-appliances/map-0009-white-four-coil-electric-range.usdz,previews/appliances/major-appliances/map-0009-white-four-coil-electric-range.jpg
MAP-0010,map-0010-stainless-six-burner-professional-range,Stainless Six-Burner Professional Range,appliances/major-appliances,0.91,0.75,0.95,8792,17476,3,779471,0369cb31b41c5e9d1ba9a6d0d9d5d85cc96596c02170ba122e8ef6b5189f7d1e,assets/appliances/major-appliances/map-0010-stainless-six-burner-professional-range.usdz,previews/appliances/major-appliances/map-0010-stainless-six-burner-professional-range.jpg
